model_name= generate_cfg_from_synthese_file_Wscaled_aj
 --------------------------
  List of all combinations 
 --------------------------
#   id                Dnu          epsilon  delta0l_percent              HNR        a1ovGamma   Gamma_at_numax               a2               a3               a4               a5               a6        beta_asym                i
0000001               70              0.5               -5                5          0.80096                1                0                0                0                0                0                0            17.17
0000002               70              0.5               -5                5          0.70109                1                0                0                0                0                0                0            68.42
0000003               70              0.5               -5                5          0.36665                1                0                0                0                0                0                0           5.4713
0000004               70              0.5               -5                5         0.054056                1                0                0                0                0                0                0           35.593
0000005               70              0.5               -5                5          0.47034                1                0                0                0                0                0                0           33.189
0000006               70              0.5               -5                5         0.014568                1                0                0                0                0                0                0           68.766
0000007               70              0.5               -5                5           0.8271                1                0                0                0                0                0                0            79.04
0000008               70              0.5               -5                5          0.18855                1                0                0                0                0                0                0           40.943
0000009               70              0.5               -5                5          0.61189                1                0                0                0                0                0                0           23.692
0000010               70              0.5               -5                5            0.244                1                0                0                0                0                0                0           41.796
0000011               70              0.5               -5                5         0.064577                1                0                0                0                0                0                0           21.225
0000012               70              0.5               -5                5          0.78285                1                0                0                0                0                0                0           60.194
0000013               70              0.5               -5                5          0.38177                1                0                0                0                0                0                0           53.418
0000014               70              0.5               -5                5          0.40376                1                0                0                0                0                0                0           52.858
0000015               70              0.5               -5                5         0.064633                1                0                0                0                0                0                0           51.863
0000016               70              0.5               -5                5          0.45911                1                0                0                0                0                0                0           30.477
0000017               70              0.5               -5                5          0.82015                1                0                0                0                0                0                0          0.68736
0000018               70              0.5               -5                5          0.33905                1                0                0                0                0                0                0           63.404
0000019               70              0.5               -5                5          0.37606                1                0                0                0                0                0                0           76.694
0000020               70              0.5               -5                5          0.46029                1                0                0                0                0                0                0           18.047
0000021               70              0.5               -5                5          0.73897                1                0                0                0                0                0                0           84.918
0000022               70              0.5               -5                5          0.54114                1                0                0                0                0                0                0           21.065
0000023               70              0.5               -5                5          0.57089                1                0                0                0                0                0                0           13.321
0000024               70              0.5               -5                5           0.8932                1                0                0                0                0                0                0           86.799
0000025               70              0.5               -5                5          0.38404                1                0                0                0                0                0                0           2.1465
0000026               70              0.5               -5                5          0.94083                1                0                0                0                0                0                0           56.188
0000027               70              0.5               -5                5          0.80746                1                0                0                0                0                0                0           49.366
0000028               70              0.5               -5                5          0.96669                1                0                0                0                0                0                0           32.291
0000029               70              0.5               -5                5          0.75617                1                0                0                0                0                0                0           55.266
0000030               70              0.5               -5                5          0.55222                1                0                0                0                0                0                0            18.76
0000031               70              0.5               -5                5          0.91181                1                0                0                0                0                0                0           22.484
0000032               70              0.5               -5                5          0.10243                1                0                0                0                0                0                0           7.5246
0000033               70              0.5               -5                5          0.20624                1                0                0                0                0                0                0           67.557
0000034               70              0.5               -5                5          0.66568                1                0                0                0                0                0                0           65.119
0000035               70              0.5               -5                5          0.90577                1                0                0                0                0                0                0           28.226
0000036               70              0.5               -5                5          0.15927                1                0                0                0                0                0                0           87.261
0000037               70              0.5               -5                5          0.81456                1                0                0                0                0                0                0           49.213
0000038               70              0.5               -5                5          0.94385                1                0                0                0                0                0                0           14.324
0000039               70              0.5               -5                5         0.045987                1                0                0                0                0                0                0           15.957
0000040               70              0.5               -5                5          0.55493                1                0                0                0                0                0                0           31.234
0000041               70              0.5               -5                5          0.74586                1                0                0                0                0                0                0           64.651
0000042               70              0.5               -5                5          0.11755                1                0                0                0                0                0                0           22.791
0000043               70              0.5               -5                5          0.23591                1                0                0                0                0                0                0           11.773
0000044               70              0.5               -5                5          0.44938                1                0                0                0                0                0                0           19.632
0000045               70              0.5               -5                5          0.87489                1                0                0                0                0                0                0           21.365
0000046               70              0.5               -5                5         0.042331                1                0                0                0                0                0                0           24.153
0000047               70              0.5               -5                5          0.74446                1                0                0                0                0                0                0           83.715
0000048               70              0.5               -5                5           0.5956                1                0                0                0                0                0                0           1.7135
0000049               70              0.5               -5                5          0.48604                1                0                0                0                0                0                0          0.23224
0000050               70              0.5               -5                5          0.51805                1                0                0                0                0                0                0           81.611
0000051               70              0.5               -5                5          0.80942                1                0                0                0                0                0                0           7.7507
0000052               70              0.5               -5                5          0.35084                1                0                0                0                0                0                0           16.046
0000053               70              0.5               -5                5          0.74989                1                0                0                0                0                0                0           70.852
0000054               70              0.5               -5                5          0.39809                1                0                0                0                0                0                0           61.096
0000055               70              0.5               -5                5          0.32981                1                0                0                0                0                0                0           70.356
0000056               70              0.5               -5                5         0.026847                1                0                0                0                0                0                0           61.433
0000057               70              0.5               -5                5         0.066864                1                0                0                0                0                0                0            87.14
0000058               70              0.5               -5                5          0.52573                1                0                0                0                0                0                0           32.688
0000059               70              0.5               -5                5          0.80669                1                0                0                0                0                0                0           84.129
0000060               70              0.5               -5                5          0.84687                1                0                0                0                0                0                0           39.324
0000061               70              0.5               -5                5          0.11319                1                0                0                0                0                0                0           74.716
0000062               70              0.5               -5                5          0.41744                1                0                0                0                0                0                0           55.857
0000063               70              0.5               -5                5          0.80321                1                0                0                0                0                0                0           23.676
0000064               70              0.5               -5                5          0.26274                1                0                0                0                0                0                0           40.558
0000065               70              0.5               -5                5          0.60212                1                0                0                0                0                0                0           79.192
0000066               70              0.5               -5                5          0.37314                1                0                0                0                0                0                0           29.997
0000067               70              0.5               -5                5            0.407                1                0                0                0                0                0                0           35.001
0000068               70              0.5               -5                5          0.16471                1                0                0                0                0                0                0            31.41
0000069               70              0.5               -5                5          0.19471                1                0                0                0                0                0                0             69.5
0000070               70              0.5               -5                5          0.81755                1                0                0                0                0                0                0            24.05
0000071               70              0.5               -5                5         0.040902                1                0                0                0                0                0                0           72.721
0000072               70              0.5               -5                5         0.054353                1                0                0                0                0                0                0           59.756
0000073               70              0.5               -5                5           0.7301                1                0                0                0                0                0                0           17.606
0000074               70              0.5               -5                5           0.9476                1                0                0                0                0                0                0           49.902
0000075               70              0.5               -5                5         0.018468                1                0                0                0                0                0                0           82.551
0000076               70              0.5               -5                5           0.3895                1                0                0                0                0                0                0           60.163
0000077               70              0.5               -5                5          0.27195                1                0                0                0                0                0                0           29.555
0000078               70              0.5               -5                5          0.22497                1                0                0                0                0                0                0           69.018
0000079               70              0.5               -5                5         0.053577                1                0                0                0                0                0                0           45.382
0000080               70              0.5               -5                5          0.65246                1                0                0                0                0                0                0           52.863
0000081               70              0.5               -5                5          0.39044                1                0                0                0                0                0                0           43.976
0000082               70              0.5               -5                5          0.28937                1                0                0                0                0                0                0           81.301
0000083               70              0.5               -5                5          0.98949                1                0                0                0                0                0                0           89.772
0000084               70              0.5               -5                5           0.3211                1                0                0                0                0                0                0            69.66
0000085               70              0.5               -5                5          0.58779                1                0                0                0                0                0                0           38.093
0000086               70              0.5               -5                5         0.022364                1                0                0                0                0                0                0           10.013
0000087               70              0.5               -5                5          0.62456                1                0                0                0                0                0                0           84.126
0000088               70              0.5               -5                5          0.26819                1                0                0                0                0                0                0           31.542
0000089               70              0.5               -5                5           0.7646                1                0                0                0                0                0                0           21.772
0000090               70              0.5               -5                5          0.86092                1                0                0                0                0                0                0           40.746
0000091               70              0.5               -5                5          0.89114                1                0                0                0                0                0                0           84.611
0000092               70              0.5               -5                5          0.15901                1                0                0                0                0                0                0           68.807
0000093               70              0.5               -5                5          0.58504                1                0                0                0                0                0                0           32.896
0000094               70              0.5               -5                5          0.52308                1                0                0                0                0                0                0           32.013
0000095               70              0.5               -5                5          0.33232                1                0                0                0                0                0                0           71.073
0000096               70              0.5               -5                5          0.25672                1                0                0                0                0                0                0           73.247
0000097               70              0.5               -5                5          0.90635                1                0                0                0                0                0                0           27.277
0000098               70              0.5               -5                5          0.80745                1                0                0                0                0                0                0           26.936
0000099               70              0.5               -5                5          0.17618                1                0                0                0                0                0                0           38.318
0000100               70              0.5               -5                5          0.49876                1                0                0                0                0                0                0           17.054
0000101               70              0.5               -5                5          0.44594                1                0                0                0                0                0                0           42.109
0000102               70              0.5               -5                5          0.71915                1                0                0                0                0                0                0           49.111
0000103               70              0.5               -5                5          0.55772                1                0                0                0                0                0                0           50.726
0000104               70              0.5               -5                5          0.74638                1                0                0                0                0                0                0           10.951
0000105               70              0.5               -5                5          0.81314                1                0                0                0                0                0                0           67.421
0000106               70              0.5               -5                5          0.18688                1                0                0                0                0                0                0           3.1749
0000107               70              0.5               -5                5          0.75847                1                0                0                0                0                0                0           20.284
0000108               70              0.5               -5                5          0.54784                1                0                0                0                0                0                0           52.269
0000109               70              0.5               -5                5          0.56559                1                0                0                0                0                0                0           62.833
0000110               70              0.5               -5                5          0.50662                1                0                0                0                0                0                0           52.086
0000111               70              0.5               -5                5          0.51234                1                0                0                0                0                0                0           73.943
0000112               70              0.5               -5                5          0.78966                1                0                0                0                0                0                0            63.78
0000113               70              0.5               -5                5          0.25553                1                0                0                0                0                0                0           81.991
0000114               70              0.5               -5                5          0.08999                1                0                0                0                0                0                0           12.808
0000115               70              0.5               -5                5          0.18824                1                0                0                0                0                0                0           15.374
0000116               70              0.5               -5                5          0.31654                1                0                0                0                0                0                0           14.105
0000117               70              0.5               -5                5         0.059728                1                0                0                0                0                0                0           80.299
0000118               70              0.5               -5                5          0.71939                1                0                0                0                0                0                0           33.577
0000119               70              0.5               -5                5          0.55456                1                0                0                0                0                0                0            78.18
0000120               70              0.5               -5                5          0.81586                1                0                0                0                0                0                0           36.275
0000121               70              0.5               -5                5          0.76438                1                0                0                0                0                0                0           29.289
0000122               70              0.5               -5                5          0.43387                1                0                0                0                0                0                0           47.685
0000123               70              0.5               -5                5          0.28723                1                0                0                0                0                0                0            29.11
0000124               70              0.5               -5                5          0.11059                1                0                0                0                0                0                0          0.74642
0000125               70              0.5               -5                5          0.52743                1                0                0                0                0                0                0           13.743
0000126               70              0.5               -5                5         0.072432                1                0                0                0                0                0                0           78.725
0000127               70              0.5               -5                5          0.16011                1                0                0                0                0                0                0           19.554
0000128               70              0.5               -5                5          0.66569                1                0                0                0                0                0                0           28.215
0000129               70              0.5               -5                5          0.64114                1                0                0                0                0                0                0           80.641
0000130               70              0.5               -5                5          0.31021                1                0                0                0                0                0                0           24.184
0000131               70              0.5               -5                5          0.34866                1                0                0                0                0                0                0           11.798
0000132               70              0.5               -5                5          0.55911                1                0                0                0                0                0                0           1.8372
0000133               70              0.5               -5                5          0.85456                1                0                0                0                0                0                0           11.692
0000134               70              0.5               -5                5          0.46379                1                0                0                0                0                0                0           10.276
0000135               70              0.5               -5                5          0.85898                1                0                0                0                0                0                0           87.397
0000136               70              0.5               -5                5           0.2189                1                0                0                0                0                0                0           10.634
0000137               70              0.5               -5                5          0.25995                1                0                0                0                0                0                0           28.435
0000138               70              0.5               -5                5          0.72454                1                0                0                0                0                0                0           39.806
0000139               70              0.5               -5                5          0.68511                1                0                0                0                0                0                0            28.37
0000140               70              0.5               -5                5           0.9093                1                0                0                0                0                0                0           17.692
0000141               70              0.5               -5                5          0.52727                1                0                0                0                0                0                0           11.767
0000142               70              0.5               -5                5          0.65779                1                0                0                0                0                0                0           53.189
0000143               70              0.5               -5                5          0.17093                1                0                0                0                0                0                0           4.9203
0000144               70              0.5               -5                5          0.10043                1                0                0                0                0                0                0           67.364
0000145               70              0.5               -5                5          0.66879                1                0                0                0                0                0                0           66.265
0000146               70              0.5               -5                5          0.42669                1                0                0                0                0                0                0           47.689
0000147               70              0.5               -5                5          0.39503                1                0                0                0                0                0                0           28.566
0000148               70              0.5               -5                5           0.6679                1                0                0                0                0                0                0           64.239
0000149               70              0.5               -5                5          0.73482                1                0                0                0                0                0                0           12.455
0000150               70              0.5               -5                5         0.067165                1                0                0                0                0                0                0           41.138
0000151               70              0.5               -5                5          0.90983                1                0                0                0                0                0                0           9.5225
0000152               70              0.5               -5                5          0.98931                1                0                0                0                0                0                0            46.34
0000153               70              0.5               -5                5           0.4289                1                0                0                0                0                0                0           6.7678
0000154               70              0.5               -5                5          0.20863                1                0                0                0                0                0                0           25.634
0000155               70              0.5               -5                5          0.11282                1                0                0                0                0                0                0           70.555
0000156               70              0.5               -5                5          0.40326                1                0                0                0                0                0                0           16.206
0000157               70              0.5               -5                5          0.36062                1                0                0                0                0                0                0           39.732
0000158               70              0.5               -5                5           0.1337                1                0                0                0                0                0                0           29.604
0000159               70              0.5               -5                5          0.80664                1                0                0                0                0                0                0           3.0492
0000160               70              0.5               -5                5         0.010106                1                0                0                0                0                0                0           40.524
0000161               70              0.5               -5                5          0.24657                1                0                0                0                0                0                0           41.965
0000162               70              0.5               -5                5          0.92931                1                0                0                0                0                0                0           85.212
