#       freq (microHz)    spectrum (ppm2/microHz)   model spectrum (ppm2/microHz)
         870.5355444       0.03127229129           0.1558674
         870.5672544        0.2425276094           0.1558658
         870.5989645        0.3254391888           0.1558642
         870.6306745      0.007715061369           0.1558626
         870.6623845        0.1597278437            0.155861
         870.6940946        0.0447101992           0.1558594
         870.7258046        0.1370932728           0.1558578
         870.7575146        0.1165093372           0.1558562
         870.7892247         0.216457048           0.1558546
         870.8209347        0.1336561749            0.155853
         870.8526447        0.3604197664           0.1558515
         870.8843548         0.191415252           0.1558499
         870.9160648       0.08312378446           0.1558483
         870.9477748        0.2055774533           0.1558467
         870.9794849        0.1247759995           0.1558451
         871.0111949        0.1505517043           0.1558435
         871.0429049        0.2478176744           0.1558419
          871.074615       0.02037875253           0.1558403
          871.106325       0.05410962905           0.1558387
          871.138035        0.6575950162           0.1558371
         871.1697451        0.2159150944           0.1558356
         871.2014551       0.05173084573            0.155834
         871.2331651        0.1268158611           0.1558324
         871.2648752        0.2282424318           0.1558308
         871.2965852       0.01409484276           0.1558292
         871.3282952        0.1096798579           0.1558276
         871.3600053        0.1976644054            0.155826
         871.3917153        0.1311119576           0.1558244
         871.4234253       0.04168394498           0.1558228
         871.4551354       0.03320281048           0.1558213
         871.4868454        0.1474462898           0.1558197
         871.5185554       0.04716370039           0.1558181
         871.5502655        0.0118371908           0.1558165
         871.5819755        0.3165417525           0.1558149
         871.6136855        0.3103472314           0.1558133
         871.6453956         0.232109043           0.1558117
         871.6771056       0.05474196273           0.1558102
         871.7088156       0.02753386654           0.1558086
         871.7405257       0.06692003449            0.155807
         871.7722357        0.1467768875           0.1558054
         871.8039457        0.1837645978           0.1558038
         871.8356558        0.1930644923           0.1558022
         871.8673658        0.1529639343           0.1558006
         871.8990758        0.1073751845           0.1557991
         871.9307859        0.3482580353           0.1557975
         871.9624959        0.1612061926           0.1557959
         871.9942059        0.6320752746           0.1557943
          872.025916        0.2914268417           0.1557927
          872.057626        0.0340244391           0.1557911
          872.089336       0.02105517849           0.1557895
         872.1210461       0.02441190584            0.155788
         872.1527561       0.03014927969           0.1557864
         872.1844661       0.07037637364           0.1557848
         872.2161762        0.2173261191           0.1557832
         872.2478862       0.09775657858           0.1557816
         872.2795962        0.1405189655             0.15578
         872.3113063        0.3128379188           0.1557785
         872.3430163        0.2849319267           0.1557769
         872.3747263        0.1632981946           0.1557753
         872.4064364       0.01817094315           0.1557737
         872.4381464        0.4021061864           0.1557721
         872.4698564       0.09090222039           0.1557706
         872.5015665        0.4811860263            0.155769
         872.5332765        0.2918554472           0.1557674
         872.5649865       0.09728868766           0.1557658
         872.5966966       0.05682411022           0.1557642
         872.6284066        0.1743106114           0.1557626
         872.6601166       0.05584571544           0.1557611
         872.6918267       0.04063529744           0.1557595
         872.7235367       0.04792212649           0.1557579
         872.7552467        0.2473877598           0.1557563
         872.7869568        0.1567572515           0.1557547
         872.8186668         0.252084323           0.1557532
         872.8503768       0.09027204787           0.1557516
         872.8820869       0.06619836394             0.15575
         872.9137969      0.003127724586           0.1557484
         872.9455069        0.7174132518           0.1557468
          872.977217        0.2958490625           0.1557453
          873.008927       0.04462742431           0.1557437
          873.040637        0.1474006005           0.1557421
         873.0723471       0.01516933124           0.1557405
         873.1040571         0.140914489            0.155739
         873.1357671        0.1215772603           0.1557374
         873.1674772         0.464197122           0.1557358
         873.1991872        0.1300395119           0.1557342
         873.2308972        0.1786238901           0.1557326
         873.2626073        0.3331221425           0.1557311
         873.2943173      0.002287721352           0.1557295
         873.3260273        0.1724265335           0.1557279
         873.3577374       0.01337933458           0.1557263
         873.3894474       0.06326436019           0.1557248
         873.4211574       0.07956426683           0.1557232
         873.4528675       0.05839708273           0.1557216
         873.4845775        0.2091782117             0.15572
         873.5162875       0.01470072014           0.1557184
         873.5479976        0.1658087483           0.1557169
         873.5797076       0.02014719381           0.1557153
         873.6114176     1.207435437e-05           0.1557137
         873.6431277       0.06662310372           0.1557121
         873.6748377         0.111134618           0.1557106
         873.7065477       0.09291518143            0.155709
         873.7382578       0.08100008671           0.1557074
         873.7699678        0.2501010993           0.1557058
         873.8016778        0.2109540122           0.1557043
         873.8333879       0.04017950459           0.1557027
         873.8650979        0.1593268513           0.1557011
         873.8968079       0.01023213652           0.1556995
          873.928518        0.1963503498            0.155698
          873.960228       0.02024994231           0.1556964
          873.991938      0.006728459099           0.1556948
         874.0236481       0.05968995279           0.1556933
         874.0553581        0.4139812102           0.1556917
         874.0870681        0.1728245911           0.1556901
         874.1187782       0.01091344293           0.1556885
         874.1504882          0.42842605            0.155687
         874.1821982        0.1091862343           0.1556854
         874.2139083         0.254346209           0.1556838
         874.2456183        0.1054508592           0.1556822
         874.2773283       0.09231392201           0.1556807
         874.3090384       0.03413436637           0.1556791
         874.3407484       0.01476085011           0.1556775
         874.3724584        0.0339587796            0.155676
         874.4041685       0.09632947753           0.1556744
         874.4358785        0.2029493862           0.1556728
         874.4675885        0.2329836406           0.1556712
         874.4992986        0.1312973357           0.1556697
         874.5310086        0.1019093228           0.1556681
         874.5627186       0.04696239542           0.1556665
         874.5944287      0.003595110288            0.155665
         874.6261387        0.1420961301           0.1556634
         874.6578487       0.06739911735           0.1556618
         874.6895588        0.5632692335           0.1556603
         874.7212688        0.0337606191           0.1556587
         874.7529788        0.1109446427           0.1556571
         874.7846889       0.05331024559           0.1556555
         874.8163989       0.04843235573            0.155654
         874.8481089        0.0376968342           0.1556524
          874.879819        0.3187967156           0.1556508
          874.911529         0.162156766           0.1556493
          874.943239       0.04469658038           0.1556477
         874.9749491        0.3857058793           0.1556461
         875.0066591         0.405374644           0.1556446
         875.0383691        0.4854100569            0.155643
         875.0700792        0.1060475998           0.1556414
         875.1017892       0.02881665671           0.1556399
         875.1334992        0.0430501143           0.1556383
         875.1652093       0.08631604914           0.1556367
         875.1969193       0.01304101294           0.1556352
         875.2286293       0.03100302976           0.1556336
         875.2603394        0.1003918896            0.155632
         875.2920494        0.0228670248           0.1556305
         875.3237594       0.08896045209           0.1556289
         875.3554695       0.03841747019           0.1556273
         875.3871795        0.1034136968           0.1556258
         875.4188895       0.05819269094           0.1556242
         875.4505996        0.1907379173           0.1556226
         875.4823096       0.06602837643           0.1556211
         875.5140196      0.002170494699           0.1556195
         875.5457297       0.06688913076           0.1556179
         875.5774397        0.2640147084           0.1556164
         875.6091497        0.3945821661           0.1556148
         875.6408598        0.0908650425           0.1556132
         875.6725698        0.2421941856           0.1556117
         875.7042798        0.2484192684           0.1556101
         875.7359899     0.0009233679563           0.1556086
         875.7676999        0.4333567178            0.155607
         875.7994099        0.1709108809           0.1556054
           875.83112         0.047635083           0.1556039
           875.86283        0.1142085537           0.1556023
           875.89454        0.1032843864           0.1556007
         875.9262501      0.006151039904           0.1555992
         875.9579601        0.0387500717           0.1555976
         875.9896701       0.02115924548            0.155596
         876.0213802        0.5258572659           0.1555945
         876.0530902       0.09573286433           0.1555929
         876.0848002        0.3691226686           0.1555914
         876.1165103        0.2136642443           0.1555898
         876.1482203       0.03062403444           0.1555882
         876.1799303        0.1399826961           0.1555867
         876.2116404        0.2898646415           0.1555851
         876.2433504        0.1606407234           0.1555836
         876.2750604       0.02655428852            0.155582
         876.3067705         0.309164615           0.1555804
         876.3384805        0.1693990924           0.1555789
         876.3701905        0.1659317057           0.1555773
         876.4019006        0.2161684279           0.1555757
         876.4336106      0.006894122517           0.1555742
         876.4653206        0.1642784833           0.1555726
         876.4970307       0.06958112554           0.1555711
         876.5287407        0.4579592262           0.1555695
         876.5604507       0.09768600455           0.1555679
         876.5921608       0.08237303011           0.1555664
         876.6238708        0.1133318371           0.1555648
         876.6555808         0.093355414           0.1555633
         876.6872909       0.04468892002           0.1555617
         876.7190009       0.06217823175           0.1555602
         876.7507109       0.05594083847           0.1555586
          876.782421         0.162778301            0.155557
          876.814131        0.3206882384           0.1555555
          876.845841        0.3639018276           0.1555539
         876.8775511        0.1119134489           0.1555524
         876.9092611       0.04773548607           0.1555508
         876.9409711        0.1506759358           0.1555492
         876.9726812       0.09587730176           0.1555477
         877.0043912       0.02415843225           0.1555461
         877.0361012       0.07684026276           0.1555446
         877.0678113       0.07283250676            0.155543
         877.0995213       0.01192180011           0.1555415
         877.1312313        0.2801687206           0.1555399
         877.1629414        0.4300544531           0.1555383
         877.1946514        0.2647442431           0.1555368
         877.2263614        0.1931040625           0.1555352
         877.2580715        0.4651423054           0.1555337
         877.2897815       0.09665458179           0.1555321
         877.3214915       0.05800829322           0.1555306
         877.3532016        0.1952444045            0.155529
         877.3849116        0.1430829278           0.1555275
         877.4166216        0.0115000722           0.1555259
         877.4483317        0.1170437336           0.1555244
         877.4800417         0.371414823           0.1555228
         877.5117517        0.3050222329           0.1555212
         877.5434618       0.08956389988           0.1555197
         877.5751718        0.3667228364           0.1555181
         877.6068818        0.1485823492           0.1555166
         877.6385919      0.007728984165            0.155515
         877.6703019        0.6329382867           0.1555135
         877.7020119       0.04496241019           0.1555119
          877.733722         0.130193374           0.1555104
          877.765432        0.1731116872           0.1555088
          877.797142        0.5939254408           0.1555073
         877.8288521       0.02048234238           0.1555057
         877.8605621        0.1924228057           0.1555042
         877.8922721       0.02246536273           0.1555026
         877.9239822      0.005986137586           0.1555011
         877.9556922      0.007739681431           0.1554995
         877.9874022        0.1967753984           0.1554979
         878.0191123       0.05807729344           0.1554964
         878.0508223        0.1477447956           0.1554948
         878.0825323       0.08161263302           0.1554933
         878.1142424      0.004647796633           0.1554917
         878.1459524       0.09919308286           0.1554902
         878.1776624       0.01626667554           0.1554886
         878.2093725      0.008680561546           0.1554871
         878.2410825       0.09474836087           0.1554855
         878.2727925        0.2693210744            0.155484
         878.3045026        0.1458195311           0.1554824
         878.3362126       0.04319970834           0.1554809
         878.3679226        0.2852041602           0.1554793
         878.3996327        0.4207733187           0.1554778
         878.4313427       0.01238246549           0.1554762
         878.4630527        0.2083631606           0.1554747
         878.4947628         0.614423044           0.1554731
         878.5264728        0.1809838946           0.1554716
         878.5581828       0.03325961619             0.15547
         878.5898929        0.5757122725           0.1554685
         878.6216029        0.2278159785           0.1554669
         878.6533129        0.2013901765           0.1554654
          878.685023       0.03260809526           0.1554639
          878.716733        0.1744973808           0.1554623
          878.748443        0.2163787498           0.1554608
         878.7801531         0.290626617           0.1554592
         878.8118631        0.4033082337           0.1554577
         878.8435731        0.2344119915           0.1554561
         878.8752832        0.1997925222           0.1554546
         878.9069932        0.1107614094            0.155453
         878.9387032        0.2199300996           0.1554515
         878.9704133        0.1009988697           0.1554499
         879.0021233        0.2622305773           0.1554484
         879.0338333      0.004981209604           0.1554468
         879.0655434       0.05625812319           0.1554453
         879.0972534       0.05806681052           0.1554437
         879.1289634        0.2132165824           0.1554422
         879.1606735     0.0009298045219           0.1554407
         879.1923835        0.1692694262           0.1554391
         879.2240935        0.4233835224           0.1554376
         879.2558036       0.05760185983            0.155436
         879.2875136        0.4254072936           0.1554345
         879.3192236       0.03693392508           0.1554329
         879.3509337       0.01877474442           0.1554314
         879.3826437        0.3114652472           0.1554298
         879.4143537       0.07669191137           0.1554283
         879.4460638       0.02886138986           0.1554267
         879.4777738        0.2300839816           0.1554252
         879.5094838        0.0340237834           0.1554237
         879.5411939        0.0924243371           0.1554221
         879.5729039        0.3766098152           0.1554206
         879.6046139        0.1071998714            0.155419
          879.636324       0.02860278856           0.1554175
          879.668034       0.01057109009           0.1554159
          879.699744       0.09404086718           0.1554144
         879.7314541        0.1957182332           0.1554129
         879.7631641       0.08920116406           0.1554113
         879.7948741       0.05574465205           0.1554098
         879.8265842        0.4417433401           0.1554082
         879.8582942         0.237634524           0.1554067
         879.8900042        0.3658650097           0.1554052
         879.9217143       0.03323081227           0.1554036
         879.9534243       0.09205296265           0.1554021
         879.9851343        0.3542056621           0.1554005
         880.0168444       0.07377331345            0.155399
         880.0485544       0.02600351706           0.1553974
         880.0802644        0.8296352581           0.1553959
         880.1119745        0.5906144613           0.1553944
         880.1436845        0.3607187603           0.1553928
         880.1753945        0.3378355655           0.1553913
         880.2071046        0.2896336952           0.1553897
         880.2388146        0.2064944396           0.1553882
         880.2705246        0.1891189074           0.1553867
         880.3022347        0.2253643633           0.1553851
         880.3339447        0.3191886038           0.1553836
         880.3656547        0.2210860586            0.155382
         880.3973648      0.008456009846           0.1553805
         880.4290748       0.06624615732            0.155379
         880.4607848       0.06659558535           0.1553774
         880.4924949        0.9028253459           0.1553759
         880.5242049        0.1780633426           0.1553744
         880.5559149        0.3737487207           0.1553728
          880.587625       0.09494975965           0.1553713
          880.619335        0.2730078148           0.1553697
          880.651045      0.001639102854           0.1553682
         880.6827551      0.004642090568           0.1553667
         880.7144651        0.1460568955           0.1553651
         880.7461751      0.002260660575           0.1553636
         880.7778852         0.310597844           0.1553621
         880.8095952        0.2812160415           0.1553605
         880.8413052        0.1553074819            0.155359
         880.8730153        0.5107326119           0.1553574
         880.9047253       0.08470064997           0.1553559
         880.9364353        0.1351554975           0.1553544
         880.9681454        0.2600366384           0.1553528
         880.9998554        0.2464651945           0.1553513
         881.0315654         0.256939102           0.1553498
         881.0632755        0.1767643779           0.1553482
         881.0949855        0.1143404433           0.1553467
         881.1266955        0.1205643803           0.1553452
         881.1584056         0.105542816           0.1553436
         881.1901156       0.02575116092           0.1553421
         881.2218256        0.1951814303           0.1553406
         881.2535357        0.1129323547            0.155339
         881.2852457        0.1250835839           0.1553375
         881.3169557        0.1327794968            0.155336
         881.3486658        0.2364035946           0.1553344
         881.3803758       0.05577421915           0.1553329
         881.4120858       0.03552451645           0.1553314
         881.4437959        0.1066076461           0.1553298
         881.4755059       0.09870743286           0.1553283
         881.5072159       0.04217924729           0.1553268
          881.538926       0.08187498518           0.1553252
          881.570636          0.30545484           0.1553237
          881.602346       0.01109344842           0.1553222
         881.6340561        0.1044920432           0.1553206
         881.6657661        0.3342887002           0.1553191
         881.6974761       0.03965529191           0.1553176
         881.7291862        0.2729442438            0.155316
         881.7608962        0.1111975794           0.1553145
         881.7926062        0.3052587742            0.155313
         881.8243163        0.4024904543           0.1553114
         881.8560263       0.09680767875           0.1553099
         881.8877363        0.2663271917           0.1553084
         881.9194464       0.08013087748           0.1553068
         881.9511564        0.1220741257           0.1553053
         881.9828664       0.03820614073           0.1553038
         882.0145765        0.1053980135           0.1553023
         882.0462865        0.0266191861           0.1553007
