model_name= generate_cfg_from_synthese_file_Wscaled_aj
 --------------------------
  List of all combinations 
 --------------------------
#   id                Dnu          epsilon  delta0l_percent              HNR        a1ovGamma   Gamma_at_numax               a2               a3               a4               a5               a6        beta_asym                i
0000000               70              0.5               -5               10                1                1                0                0                0                0                0                0                0
0000001               70              0.5               -5               10                1                1                0                0                0                0                0                0               10
0000002               70              0.5               -5               10                1                1                0                0                0                0                0                0               20
0000003               70              0.5               -5               10                1                1                0                0                0                0                0                0               30
0000004               70              0.5               -5               10                1                1                0                0                0                0                0                0               40
0000005               70              0.5               -5               10                1                1                0                0                0                0                0                0               50
0000006               70              0.5               -5               10                1                1                0                0                0                0                0                0               60
0000007               70              0.5               -5               10                1                1                0                0                0                0                0                0               70
0000008               70              0.5               -5               10                1                1                0                0                0                0                0                0               80
0000009               70              0.5               -5               10                1                1                0                0                0                0                0                0               90
0000010               70              0.5               -5               20                1                1                0                0                0                0                0                0                0
0000011               70              0.5               -5               20                1                1                0                0                0                0                0                0               10
0000012               70              0.5               -5               20                1                1                0                0                0                0                0                0               20
0000013               70              0.5               -5               20                1                1                0                0                0                0                0                0               30
0000014               70              0.5               -5               20                1                1                0                0                0                0                0                0               40
0000015               70              0.5               -5               20                1                1                0                0                0                0                0                0               50
0000016               70              0.5               -5               20                1                1                0                0                0                0                0                0               60
0000017               70              0.5               -5               20                1                1                0                0                0                0                0                0               70
0000018               70              0.5               -5               20                1                1                0                0                0                0                0                0               80
0000019               70              0.5               -5               20                1                1                0                0                0                0                0                0               90
0000020               70              0.5               -5               30                1                1                0                0                0                0                0                0                0
0000021               70              0.5               -5               30                1                1                0                0                0                0                0                0               10
0000022               70              0.5               -5               30                1                1                0                0                0                0                0                0               20
0000023               70              0.5               -5               30                1                1                0                0                0                0                0                0               30
0000024               70              0.5               -5               30                1                1                0                0                0                0                0                0               40
0000025               70              0.5               -5               30                1                1                0                0                0                0                0                0               50
0000026               70              0.5               -5               30                1                1                0                0                0                0                0                0               60
0000027               70              0.5               -5               30                1                1                0                0                0                0                0                0               70
0000028               70              0.5               -5               30                1                1                0                0                0                0                0                0               80
0000029               70              0.5               -5               30                1                1                0                0                0                0                0                0               90
0000030               70              0.5               -4               10                1                1                0                0                0                0                0                0                0
0000031               70              0.5               -4               10                1                1                0                0                0                0                0                0               10
0000032               70              0.5               -4               10                1                1                0                0                0                0                0                0               20
0000033               70              0.5               -4               10                1                1                0                0                0                0                0                0               30
0000034               70              0.5               -4               10                1                1                0                0                0                0                0                0               40
0000035               70              0.5               -4               10                1                1                0                0                0                0                0                0               50
0000036               70              0.5               -4               10                1                1                0                0                0                0                0                0               60
0000037               70              0.5               -4               10                1                1                0                0                0                0                0                0               70
0000038               70              0.5               -4               10                1                1                0                0                0                0                0                0               80
0000039               70              0.5               -4               10                1                1                0                0                0                0                0                0               90
0000040               70              0.5               -4               20                1                1                0                0                0                0                0                0                0
0000041               70              0.5               -4               20                1                1                0                0                0                0                0                0               10
0000042               70              0.5               -4               20                1                1                0                0                0                0                0                0               20
0000043               70              0.5               -4               20                1                1                0                0                0                0                0                0               30
0000044               70              0.5               -4               20                1                1                0                0                0                0                0                0               40
0000045               70              0.5               -4               20                1                1                0                0                0                0                0                0               50
0000046               70              0.5               -4               20                1                1                0                0                0                0                0                0               60
0000047               70              0.5               -4               20                1                1                0                0                0                0                0                0               70
0000048               70              0.5               -4               20                1                1                0                0                0                0                0                0               80
0000049               70              0.5               -4               20                1                1                0                0                0                0                0                0               90
0000050               70              0.5               -4               30                1                1                0                0                0                0                0                0                0
0000051               70              0.5               -4               30                1                1                0                0                0                0                0                0               10
0000052               70              0.5               -4               30                1                1                0                0                0                0                0                0               20
0000053               70              0.5               -4               30                1                1                0                0                0                0                0                0               30
0000054               70              0.5               -4               30                1                1                0                0                0                0                0                0               40
0000055               70              0.5               -4               30                1                1                0                0                0                0                0                0               50
0000056               70              0.5               -4               30                1                1                0                0                0                0                0                0               60
0000057               70              0.5               -4               30                1                1                0                0                0                0                0                0               70
0000058               70              0.5               -4               30                1                1                0                0                0                0                0                0               80
0000059               70              0.5               -4               30                1                1                0                0                0                0                0                0               90
